,manga_name,manga_link,volumes,chapters,status,genres,authors,serialization,members,favorite,score,rank,popularity,published 
2341,Biyaku Cafe,https://myanimelist.net/manga/11522/Biyaku_Cafe,7,34,Finished,"Drama, Romance, Shoujo","Ukyou, Ayane (Story & Art)",Margaret,"4,926",34,7.381,50402,2066,Oct 2008 to Nov 2011
2342,+C: Sword and Cornett,https://myanimelist.net/manga/12922/_C__Sword_and_Cornett,8,52,Finished,"Action, Adventure, Drama, Fantasy, Josei","Yugyoji, Tama (Story & Art)",Comic ZERO-SUM,"7,014",88,7.381,50412,1394,"Apr  28, 2008 to Oct  27, 2012"
2343,Houkago Play,https://myanimelist.net/manga/13125/Houkago_Play,1,16,Finished,"Comedy, Romance, Slice of Life","Kurosaki, Rendou (Story & Art)",Dengeki PlayStation,"4,814",101,7.381,50422,2110,"Oct  26, 2007 to Aug  8, 2008"
2344,Kuimonodokoro Akira,https://myanimelist.net/manga/13345/Kuimonodokoro_Akira,1,7,Finished,"Comedy, Shounen Ai, Slice of Life","Yamashita, Tomoko (Story & Art)",Catalogue Series,"1,391",4,7.381,50432,6788,Apr 2007
2345,Fuuma no Kojirou,https://myanimelist.net/manga/14230/Fuuma_no_Kojirou,10,42,Finished,"Fantasy, Martial Arts, Shounen","Kurumada, Masami (Story & Art)",Shounen Jump (Weekly),376,16,7.381,50442,15478,"Dec  22, 1981 to Nov  8, 1983"
2346,Celeste Blue,https://myanimelist.net/manga/16245/Celeste_Blue,Unknown,1,Finished,"Drama, Romance, School, Shoujo","Sakura, Amyuu (Story & Art)",    None,"3,105",7,7.381,50452,3262,2009
2347,Gakkou no Sensei,https://myanimelist.net/manga/17168/Gakkou_no_Sensei,5,35,Finished,"Comedy, Ecchi, Shoujo Ai, Shounen","Suyama, Shinya (Story & Art)",Gangan Online,"2,298",7,7.381,50472,4329,"Feb  26, 2009 to Dec  22, 2011"
2348,A Small World,https://myanimelist.net/manga/17361/A_Small_World,Unknown,1,Finished,"Comedy, Drama, Shoujo","Nishikata, Mai (Story & Art)",The Hana to Yume,"2,715",9,7.381,50482,3749,"Oct  27, 2009"
2349,Tsuzuki wa Mata Ashita,https://myanimelist.net/manga/17763/Tsuzuki_wa_Mata_Ashita,4,30,Finished,Slice of Life,"Konno, Kita (Story & Art)",Web Spica,461,2,7.381,50492,14004,"May  26, 2008 to Feb  28, 2013"
2350,Auto Focus,https://myanimelist.net/manga/4099/Auto_Focus,5,18,Finished,"Drama, Romance, Shoujo","Roppongi, Aya (Story & Art)",LaLa DX,"1,207",5,7.351,53552,7562,"Dec  10, 1999 to Oct  10, 2003"
2351,Eye Level,https://myanimelist.net/manga/4518/Eye_Level,1,4,Finished,"Drama, Romance, Shoujo","Matsuno, Mika (Story & Art)",Ribon Magazine,694,1,7.351,53562,11068,2003
2352,Full Moon Joker,https://myanimelist.net/manga/5873/Full_Moon_Joker,1,5,Finished,"Fantasy, Magic, Romance, Shoujo","Takamiya, Satoru (Story & Art)",ChuChu,"3,988",31,7.351,53582,2557,2008 to ?
2353,Peace Maker,https://myanimelist.net/manga/5996/Peace_Maker,17,109,Finished,"Action, Adventure, Historical, Seinen","Minagawa, Ryouji (Story & Art)",Ultra Jump,"2,484",24,7.351,53592,4049,"Jun  19, 2007 to May  19, 2016"
2354,Working Musume,https://myanimelist.net/manga/6038/Working_Musume,3,Unknown,Finished,"Romance, Shoujo","Mizukami, Wataru (Story & Art)",    None,241,0,7.361,53602,18930,May 2000 to Jun 2001
2355,Fantamir,https://myanimelist.net/manga/6316/Fantamir,3,Unknown,Finished,"Fantasy, Romance","Seo, Eun-Jin (Story & Art)",    None,378,4,7.351,53612,15440,2004 to 2009
2356,Meg to Seron,https://myanimelist.net/manga/7092/Meg_to_Seron,7,55,Finished,"Action, Adventure, Fantasy","Sigsawa, Keiichi (Story), Kuroboshi, Kouhaku (Art)",    None,250,3,7.361,52472,18618,"Mar  10, 2008 to May  10, 2012"
2357,Suki ni Naru made Matte,https://myanimelist.net/manga/7142/Suki_ni_Naru_made_Matte,1,4,Finished,"Romance, School, Shoujo","Shimaki, Ako (Story & Art)",Cheese!,"8,415",34,7.351,53622,1136,"Sep  26, 2007"
2358,Clear Qualia,https://myanimelist.net/manga/7343/Clear_Qualia,2,12,Finished,Shoujo,"Endou, Minari (Story & Art)",Asuka (Monthly),794,2,7.351,53632,10171,2006 to 2007
2359,Kokoro Scramble,https://myanimelist.net/manga/8103/Kokoro_Scramble,1,5,Finished,"Romance, Shoujo","Nanajima, Kana (Story & Art)",ChuChu,236,0,7.351,53652,19052,"Nov  14, 2007 to Feb  14, 2008"
2360,Hatsukoi ni Oboreta,https://myanimelist.net/manga/8115/Hatsukoi_ni_Oboreta,1,5,Finished,"Drama, Romance, School, Shoujo","Sakurada, Hina (Story & Art)",Cheese!,"2,185",11,7.351,53662,4535,"Apr  25, 2008"
2361,Clamp in Wonderland EX,https://myanimelist.net/manga/8882/Clamp_in_Wonderland_EX,1,4,Finished,"Comedy, Shoujo",CLAMP (Story & Art),    None,"2,055",7,7.351,53672,4828,2006 to ?
2362,Koi ni Naru made,https://myanimelist.net/manga/10110/Koi_ni_Naru_made,1,4,Finished,"Romance, Shoujo","Yumachi, Shin (Story & Art)",Cheese!,"1,094",0,7.351,53682,8144,2008
2363,Kiyoku Yawaku,https://myanimelist.net/manga/11016/Kiyoku_Yawaku,13,46,Finished,"Drama, Romance, School, Shoujo","Ikuemi, Ryou (Story & Art)",Cookie,852,15,7.351,53692,9702,2004 to ?
2364,Da Capo II,https://myanimelist.net/manga/11435/Da_Capo_II,5,37,Finished,"Comedy, Drama, Romance, School","Circus (Story), Ryuuga, Shou (Art)",Comptiq,388,4,7.351,53702,15256,"Nov  10, 2006 to Sep  10, 2009"
2365,Dr. wa Sotto Dakishimeru,https://myanimelist.net/manga/11530/Dr_wa_Sotto_Dakishimeru,1,4,Finished,"Romance, Shoujo","Kawamaru, Shin (Story & Art)",    None,542,0,7.351,53712,12814,"Sep  26, 2006"
2366,Nephilim John,https://myanimelist.net/manga/11628/Nephilim_John,8,42,Finished,"Action, Adventure, Demons, Fantasy","Ryu, Geum Chel (Story & Art)",    None,"2,017",11,7.351,53722,4911,Dec 2007 to May 2010
2367,F.O.X II,https://myanimelist.net/manga/12424/FOX_II,6,Unknown,Finished,Fantasy,"A-Bao (Story), Neko Kreuz (Art)",    None,213,0,7.351,53732,19869,2006 to ?
2368,Toshi Densetsu,https://myanimelist.net/manga/13386/Toshi_Densetsu,9,Unknown,Finished,"Horror, Shoujo","Azuki, Ryou (Story & Art)",    None,746,4,7.351,53742,10597,2008 to 2012
2369,Loop,https://myanimelist.net/manga/13586/Loop,1,43,Finished,"Mystery, Horror, Sci-Fi","Suzuki, Koji (Story)",    None,238,0,7.351,53752,18995,Not available
2370,Asura Cryin',https://myanimelist.net/manga/13631/Asura_Cryin,14,Unknown,Finished,"Comedy, Mecha, Romance, School, Supernatural","Mikumo, Gakuto (Story), Watanuki, Nao (Art)",    None,532,2,7.351,53762,12938,"Jul  9, 2005 to Feb  10, 2010"
