,manga_name,manga_link,volumes,chapters,status,genres,authors,serialization,members,favorite,score,rank,popularity,published 
189,Tobaku Mokushiroku Kaiji,https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji,13,158,Finished,"Drama, Game, Seinen","Fukumoto, Nobuyuki (Story & Art)",Young Magazine (Weekly),"7,020",196,8.431,1892,1392,"Feb  10, 1996 to Jul  26, 1999"
190,Tobaku Hakairoku Kaiji,https://myanimelist.net/manga/3573/Tobaku_Hakairoku_Kaiji,13,134,Finished,"Drama, Game","Fukumoto, Nobuyuki (Story & Art)",Young Magazine (Weekly),"5,215",134,8.431,1902,1949,Nov 2000 to Apr 2004
191,Hana to Akuma,https://myanimelist.net/manga/6520/Hana_to_Akuma,10,58,Finished,"Comedy, Demons, Mystery, Drama, Fantasy, Historical, Romance, Shoujo, Supernatural","Oto, Hisamu (Story & Art)",Hana to Yume,"34,409","1,736",8.431,1912,200,"Oct  20, 2007 to Nov  20, 2010"
192,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,https://myanimelist.net/manga/7458/Death_Note_Another_Note__Los_Angeles_BB_Renzoku_Satsujin_Jiken,1,7,Finished,Mystery,"Obata, Takeshi (Art), Nisio, Isin (Story)",    None,"22,956",831,8.431,1922,352,"Aug  1, 2006"
193,Feng Shen Ji III,https://myanimelist.net/manga/44711/Feng_Shen_Ji_III,Unknown,80,Finished,"Action, Fantasy, Historical, Martial Arts, Supernatural, Seinen","Tang, Chi Fai (Art), Zheng, Jian He (Story), Cheng, Kin Wo (Art)",    None,"7,048",108,8.431,1932,1385,2012 to 2014
194,Hai to Gensou no Grimgar,https://myanimelist.net/manga/56755/Hai_to_Gensou_no_Grimgar,Unknown,Unknown,Publishing,"Action, Adventure, Drama, Fantasy","Jyumonji, Ao (Story), Shirai, Eiri (Art)",    None,"9,513",379,8.431,1942,981,"Jun  25, 2013 to ?"
195,Naruto Shinden Series,https://myanimelist.net/manga/90531/Naruto_Shinden_Series,3,11,Finished,"Action, Adventure, Martial Arts, Shounen, Super Power","Kishimoto, Masashi (Art), Yano, Takashi (Story), Towada, Shin (Story)",    None,"3,606",114,8.441,1832,2826,"Sep  4, 2015 to Nov  4, 2015"
196,Cheese in the Trap Season 3,https://myanimelist.net/manga/107875/Cheese_in_the_Trap_Season_3,12,37,Finished,"Comedy, Mystery, Romance, School, Slice of Life",Soonkki (Story & Art),Naver Webtoon,"2,489",46,8.431,1962,4045,"Jan  9, 2013 to Aug  26, 2015"
197,xxxHOLiC,https://myanimelist.net/manga/10/xxxHOLiC,19,213,Finished,"Comedy, Mystery, Drama, Magic, Supernatural, Seinen",CLAMP (Story & Art),Young Magazine (Weekly),"56,035","4,683",8.421,1982,100,"Feb  24, 2003 to Feb  9, 2011"
198,Kiseijuu,https://myanimelist.net/manga/401/Kiseijuu,10,64,Finished,"Action, Drama, Horror, Sci-Fi, Psychological, Seinen","Iwaaki, Hitoshi (Story & Art)",Afternoon,"59,037","3,310",8.421,1992,87,"Nov  22, 1989 to Dec  23, 1995"
199,Tokyo Crazy Paradise,https://myanimelist.net/manga/762/Tokyo_Crazy_Paradise,19,111,Finished,"Action, Comedy, Drama, Romance, Shoujo, Gender Bender","Nakamura, Yoshiki (Story & Art)",Hana to Yume,"13,611",723,8.421,2002,638,"Dec  25, 1996 to Apr  25, 2002"
200,Mushishi Tokubetsu-hen: Hihamukage,https://myanimelist.net/manga/62023/Mushishi_Tokubetsu-hen__Hihamukage,1,2,Finished,"Mystery, Fantasy, Historical, Supernatural, Seinen","Urushibara, Yuki (Story & Art)",Afternoon,"2,516",10,8.391,2502,4018,"Nov  25, 2013 to Dec  25, 2013"
201,Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/manga/91209/Gekijouban_Gintama__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,1,21,Finished,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Sorachi, Hideaki (Art), Oosaki, Tomohito (Story)",    None,815,25,8.391,2512,10017,"Jul  8, 2013"
202,Bungou Stray Dogs,https://myanimelist.net/manga/98380/Bungou_Stray_Dogs,Unknown,Unknown,Publishing,"Mystery, Supernatural","Asagiri, Kafka (Story), Harukawa35 (Art)",    None,"2,841",423,8.391,2522,3605,"Apr  1, 2014 to ?"
203,Blue Giant Supreme,https://myanimelist.net/manga/100922/Blue_Giant_Supreme,Unknown,Unknown,Publishing,"Music, Seinen","Ishizuka, Shinichi (Story & Art)",Big Comic,261,13,8.391,2532,18335,"Sep  10, 2016 to ?"
204,Cheese in the Trap Season 2,https://myanimelist.net/manga/107417/Cheese_in_the_Trap_Season_2,9,38,Finished,"Comedy, Mystery, Romance, School, Slice of Life",Soonkki (Story & Art),Naver Webtoon,"2,714",35,8.391,2542,3751,"Jun  15, 2011 to Oct  17, 2012"
205,Hanazakari no Kimitachi e,https://myanimelist.net/manga/57/Hanazakari_no_Kimitachi_e,23,148,Finished,"Comedy, Drama, Romance, School, Shoujo, Harem, Gender Bender","Nakajo, Hisaya (Story & Art)",Hana to Yume,"28,864","1,996",8.381,2552,254,"Aug  20, 1996 to Aug  20, 2004"
206,Mars,https://myanimelist.net/manga/443/Mars,15,59,Finished,"Drama, Romance, Shoujo, Slice of Life, Psychological","Souryo, Fuyumi (Story & Art)",Bessatsu Friend,"22,298","1,595",8.381,2562,358,"Jan  13, 1996 to Nov  13, 2000"
207,Hourou Musuko,https://myanimelist.net/manga/585/Hourou_Musuko,15,123,Finished,"Drama, Romance, School, Slice of Life, Seinen, Gender Bender","Shimura, Takako (Story & Art)",Comic Beam,"17,846","1,082",8.371,2702,448,"Nov  12, 2002 to Jul  12, 2013"
208,Saint Seiya: The Lost Canvas - Meiou Shinwa,https://myanimelist.net/manga/1047/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa,25,223,Finished,"Action, Adventure, Shounen","Kurumada, Masami (Story), Teshirogi, Shiori (Story & Art)",Shounen Champion,"9,895",883,8.381,2572,939,"Sep  21, 2006 to Apr  7, 2011"
209,Koori no Mamono no Monogatari,https://myanimelist.net/manga/1982/Koori_no_Mamono_no_Monogatari,24,75,Finished,"Fantasy, Romance, Shoujo, Shounen Ai, Supernatural","Sugiura, Shiho (Story & Art)",Ichiraci,"3,225",131,8.381,2582,3147,"Aug  19, 1995 to Jun  20, 2003"
210,Billy Bat,https://myanimelist.net/manga/11054/Billy_Bat,20,165,Finished,"Mystery, Drama, Historical, Supernatural, Police, Psychological, Seinen","Urasawa, Naoki (Story & Art), Nagasaki, Takashi (Story)",Morning,"20,630",764,8.381,2592,381,"Oct  16, 2008 to Aug  18, 2016"
211,Gabai: Saga no Gabai Baachan,https://myanimelist.net/manga/19709/Gabai__Saga_no_Gabai_Baachan,11,91,Finished,"Comedy, Historical, Slice of Life, Seinen","Shimada, Yoshichi (Story), Ishikawa, Saburou (Art)",Business Jump,539,12,8.381,2602,12855,2005 to Apr 2010
212,Mahouka Koukou no Rettousei,https://myanimelist.net/manga/34127/Mahouka_Koukou_no_Rettousei,Unknown,Unknown,Publishing,"Action, Magic, Romance, School, Sci-Fi, Supernatural","Satou, Tsutomu (Story), Ishida, Kana (Art)",    None,"19,235","1,135",8.381,2622,407,"Jul  8, 2011 to ?"
213,About Death,https://myanimelist.net/manga/50027/About_Death,2,27,Finished,"Slice of Life, Supernatural, Psychological","Sini (Story), Hyeono (Art)",Naver Webtoon,"4,867",243,8.371,2632,2091,"Sep  5, 2012 to Feb  20, 2013"
214,Steins;Gate: Heiji Kyokusen no Epigraph,https://myanimelist.net/manga/74341/Steins_Gate__Heiji_Kyokusen_no_Epigraph,1,Unknown,Finished,"Drama, Sci-Fi","Takimoto, Masashi (Story)",    None,"1,035",11,8.381,2642,8471,2012
215,Koimonogatari,https://myanimelist.net/manga/92252/Koimonogatari,Unknown,Unknown,Publishing,"Drama, School, Shounen Ai, Slice of Life","Tagura, Tohru (Story & Art)",RuTile,"5,954",207,8.381,2652,1671,"May  22, 2013 to ?"
216,"Kumo desu ga, Nani ka?",https://myanimelist.net/manga/95012/Kumo_desu_ga_Nani_ka,Unknown,Unknown,Publishing,"Adventure, Comedy, Fantasy","Kiryuu, Tsukasa (Art), Baba, Okina (Story)",    None,"5,452",313,8.381,2662,1867,"Dec  10, 2015 to ?"
217,Youjo Senki,https://myanimelist.net/manga/98436/Youjo_Senki,Unknown,Unknown,Publishing,"Magic, Military","Toujou, Chika (Art), Zen, Carlo (Story)",Comp Ace,"8,031",299,8.381,2672,1197,"Apr  26, 2016 to ?"
218,Kodomo no Omocha,https://myanimelist.net/manga/18/Kodomo_no_Omocha,10,54,Finished,"Comedy, Drama, Romance, School, Shoujo, Slice of Life","Obana, Miho (Story & Art)",Ribon Magazine,"14,796",931,8.371,2682,577,"Jul  2, 1994 to Oct  3, 1998"
219,Saiyuuki Reload,https://myanimelist.net/manga/510/Saiyuuki_Reload,10,66,Finished,"Action, Adventure, Comedy, Drama, Fantasy, Josei","Minekura, Kazuya (Story & Art)",Comic ZERO-SUM,"6,095",255,8.371,2692,1628,"Mar  28, 2002 to Jun  27, 2009"
220,Eden: It's an Endless World!,https://myanimelist.net/manga/731/Eden__Its_an_Endless_World,18,127,Finished,"Action, Drama, Sci-Fi, Psychological, Seinen","Endo, Hiroki (Story & Art)",Afternoon,"29,284","1,480",8.371,2712,251,"Sep  25, 1997 to Jun  25, 2008"
221,Saikyou Densetsu Kurosawa,https://myanimelist.net/manga/3575/Saikyou_Densetsu_Kurosawa,11,90,Finished,"Action, Comedy, Drama, Psychological, Seinen","Fukumoto, Nobuyuki (Story & Art)",Big Comic Original,"11,008",759,8.371,2722,834,Jan 2003 to Sep 2006
222,Major,https://myanimelist.net/manga/10978/Major,78,747,Finished,"Comedy, Drama, Shounen, Sports","Mitsuda, Takuya (Story & Art)",Shounen Sunday,"3,386",109,8.371,2732,2998,"Jul  13, 1994 to Jul  7, 2010"
223,Magi,https://myanimelist.net/manga/14790/Magi,37,369,Finished,"Adventure, Fantasy, Magic, Shounen","Ohtaka, Shinobu (Story & Art)",Shounen Sunday,"88,753","7,854",8.371,2742,41,"Jun  3, 2009 to Oct  11, 2017"
224,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,https://myanimelist.net/manga/16081/Umineko_no_Naku_Koro_ni_-_Episode_3__Banquet_of_the_Golden_Witch,5,22,Finished,"Mystery, Drama, Horror, Magic, Shounen, Psychological","Natsumi, Kei (Art), Ryukishi07 (Story)",Gangan Joker,"6,543",106,8.371,2752,1499,"Sep  19, 2009 to Jun  22, 2011"
225,Katanagatari,https://myanimelist.net/manga/18161/Katanagatari,12,55,Finished,"Action, Adventure, Comedy, Samurai, Romance","Nisio, Isin (Story), Take (Art)",    None,"2,694",48,8.371,2762,3774,"Jan  9, 2007 to Dec  4, 2007"
226,Ran to Haiiro no Sekai,https://myanimelist.net/manga/22986/Ran_to_Haiiro_no_Sekai,7,51,Finished,"Drama, Fantasy, Romance, Supernatural, Seinen","Irie, Aki (Story & Art)",Fellows!,"15,914",643,8.371,2772,525,"Dec  15, 2008 to Apr  15, 2015"
227,Kyoukaisenjou no Horizon,https://myanimelist.net/manga/24464/Kyoukaisenjou_no_Horizon,29,872,Finished,"Action, Comedy, Fantasy, School, Sci-Fi","Kawakami, Minoru (Story), Satoyasu (Art)",    None,"3,228",93,8.371,2782,3146,"Sep  10, 2008 to Dec  7, 2018"
228,Taiyou no Ie,https://myanimelist.net/manga/26736/Taiyou_no_Ie,13,53,Finished,"Romance, Shoujo, Slice of Life",Taamo (Story & Art),Dessert,"59,657","2,879",8.371,2792,86,"Apr  24, 2010 to May  23, 2015"
229,Tsurezure Children,https://myanimelist.net/manga/58027/Tsurezure_Children,12,212,Finished,"Comedy, Romance, School, Shounen","Wakabayashi, Toshiya (Story & Art)",Shounen Magazine (Weekly),"26,401","1,059",8.371,2802,289,"Jan  10, 2012 to Jul  11, 2018"
230,Re:Zero kara Hajimeru Isekai Seikatsu Ex,https://myanimelist.net/manga/95243/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_Ex,Unknown,Unknown,Publishing,Fantasy,"Nagatsuki, Tappei (Story), Ootsuka, Shinichirou (Art)",    None,"2,577",55,8.371,2812,3947,"Jun  25, 2015 to ?"
231,Tsubasa: RESERVoir CHRoNiCLE,https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE,28,233,Finished,"Action, Adventure, Drama, Fantasy, Shounen",CLAMP (Story & Art),Shounen Magazine (Weekly),"61,129","6,079",8.361,2822,83,"May  21, 2003 to Oct  7, 2009"
232,Blame!,https://myanimelist.net/manga/149/Blame,10,66,Finished,"Action, Drama, Horror, Sci-Fi, Psychological, Seinen","Nihei, Tsutomu (Story & Art)",Afternoon,"59,945","4,496",8.361,2832,85,"Nov  25, 1996 to Jul  25, 2003"
233,Claymore,https://myanimelist.net/manga/583/Claymore,27,159,Finished,"Action, Adventure, Fantasy, Horror, Shounen","Yagi, Norihiro (Story & Art)",Jump SQ.,"102,936","10,097",8.361,2842,30,"May  6, 2001 to Oct  4, 2014"
234,Akagami no Shirayuki-hime,https://myanimelist.net/manga/4571/Akagami_no_Shirayuki-hime,Unknown,Unknown,Publishing,"Drama, Fantasy, Romance, Shoujo","Akizuki, Sorata (Story & Art)",LaLa DX,"44,768","2,265",8.351,2992,139,"Aug  10, 2006 to ?"
235,Keishichou Tokuhanka 007,https://myanimelist.net/manga/11850/Keishichou_Tokuhanka_007,11,43,Finished,"Shoujo, Supernatural, Police","Kaji, Eiri (Story & Art)",Ichiraci,"6,950",274,8.361,2852,1411,"Oct  20, 2006 to Mar  20, 2012"
236,The Legend of the Sun Knight,https://myanimelist.net/manga/18251/The_Legend_of_the_Sun_Knight,8,98,Finished,"Fantasy, Supernatural","Yu, Wo (Story), Ya Sha (Art)",    None,"2,419",89,8.361,2862,4128,"Jul  9, 2007 to Nov  8, 2011"
237,High School DxD,https://myanimelist.net/manga/25409/High_School_DxD,25,240,Finished,"Comedy, Demons, Ecchi, Fantasy, Romance, School, Harem, Supernatural","Ishibumi, Ichiei (Story), Miyama-Zero (Art)",    None,"19,726","1,598",8.361,2882,394,"Sep  20, 2008 to Mar  20, 2018"
238,Hirunaka no Ryuusei,https://myanimelist.net/manga/27231/Hirunaka_no_Ryuusei,12,86,Finished,"Comedy, Romance, School, Shoujo, Slice of Life","Yamamori, Mika (Story & Art)",Margaret,"63,041","5,092",8.361,2892,76,"May  20, 2011 to Nov  5, 2014"
239,Buttobi Itto,https://myanimelist.net/manga/43857/Buttobi_Itto,26,103,Finished,"Action, Comedy, Martial Arts, Shounen, Sports","Monma, Motoki (Story & Art)",Shounen Jump (Monthly),347,10,8.351,3012,16119,1999 to ?
240,Shokugeki no Souma,https://myanimelist.net/manga/45757/Shokugeki_no_Souma,Unknown,Unknown,Publishing,"Ecchi, School, Shounen","Saeki, Shun (Art), Tsukuda, Yuuto (Story), Morisaki, Yuki (Story)",Shounen Jump (Weekly),"126,752","11,703",8.361,2902,17,"Nov  26, 2012 to ?"
241,Steins;Gate: Eigou Kaiki no Pandora,https://myanimelist.net/manga/59669/Steins_Gate__Eigou_Kaiki_no_Pandora,Unknown,Unknown,Publishing,"Drama, Sci-Fi","Takimoto, Masashi (Story), Torikai, Yasuyuki (Art)",Famitsu Comic Clear,"2,051",14,8.361,2912,4839,"May  23, 2014 to ?"
242,Mitou Shoukan://Blood Sign,https://myanimelist.net/manga/76567/Mitou_Shoukan___Blood_Sign,10,80,Finished,"Action, Comedy, Fantasy, Magic, Supernatural","Kamachi, Kazuma (Story), Ikawa, Waki (Art)",    None,"2,075",67,8.361,2922,4780,"Sep  10, 2014 to Jun  8, 2019"
243,Tokyo Ghoul:re,https://myanimelist.net/manga/81117/Tokyo_Ghoul_re,16,181,Finished,"Action, Mystery, Drama, Horror, Supernatural, Psychological, Seinen","Ishida, Sui (Story & Art)",Young Jump,"139,640","13,941",8.361,2932,15,"Oct  16, 2014 to Jul  5, 2018"
244,Dungeon Meshi,https://myanimelist.net/manga/85781/Dungeon_Meshi,Unknown,Unknown,Publishing,"Comedy, Fantasy, Seinen","Kui, Ryoko (Story & Art)",Harta,"20,371",866,8.361,2942,389,"Feb  15, 2014 to ?"
245,New Danganronpa V3: Minna no Koroshiai Shingakki Comic Anthology,https://myanimelist.net/manga/108026/New_Danganronpa_V3__Minna_no_Koroshiai_Shingakki_Comic_Anthology,Unknown,Unknown,Publishing,"Comedy, Mystery, Drama, School","Mutou, Tamura (Story & Art), Suzuka (Story & Art), Nagao, Uka (Story & Art), Arikawa, Kinu (Story & Art), Hakuri (Story & Art), Miwasiba (Story & Art)",    None,"1,187",80,8.361,2952,7667,"Apr  25, 2017 to ?"
246,Ghost Hunt,https://myanimelist.net/manga/158/Ghost_Hunt,12,43,Finished,"Mystery, Drama, Horror, Romance, Shoujo, Supernatural, Psychological","Inada, Shiho (Story & Art), Ono, Fuyumi (Story)",Nakayoshi,"10,527",460,8.351,2962,880,"Dec  6, 1997 to Sep  30, 2010"
247,Konjiki no Gash!!,https://myanimelist.net/manga/869/Konjiki_no_Gash,33,323,Finished,"Action, Adventure, Comedy, Magic, Shounen, Supernatural","Raiku, Makoto (Story & Art)",Shounen Sunday,"17,309","1,364",8.351,2972,471,"Jan  10, 2001 to Dec  26, 2007"
248,Nichijou,https://myanimelist.net/manga/3082/Nichijou,10,210,Finished,"Comedy, School, Shounen","Arawi, Keiichi (Story & Art)",Shounen Ace,"15,700",975,8.351,2982,538,"Jun  26, 2006 to Oct  26, 2015"
249,Touhou Shinigami: Meteor Methuselah Gaiden,https://myanimelist.net/manga/10865/Touhou_Shinigami__Meteor_Methuselah_Gaiden,1,9,Finished,"Action, Drama, Fantasy, Shoujo","Ozaki, Kaori (Story & Art)",Wings,"4,341",53,8.341,3052,2359,"Oct  20, 2004 to Jun  28, 2007"
250,Kuragehime,https://myanimelist.net/manga/17904/Kuragehime,17,93,Finished,"Comedy, Josei, Gender Bender","Higashimura, Akiko (Story & Art)",Kiss,"24,073","1,466",8.351,3002,330,"Oct  25, 2008 to Aug  25, 2017"
251,Comic Showa-shi,https://myanimelist.net/manga/21040/Comic_Showa-shi,8,120,Finished,Historical,"Mizuki, Shigeru (Story & Art)",    None,765,18,8.361,2872,10428,Nov 1988 to Dec 1989
252,Feng Shen Ji,https://myanimelist.net/manga/43913/Feng_Shen_Ji,Unknown,38,Finished,"Action, Fantasy, Historical, Martial Arts, Supernatural","Tang, Chi Fai (Art), Zheng, Jian He (Story), Cheng, Kin Wo (Art)",    None,"16,674",488,8.351,3022,494,2010 to 2011
253,Cat Street,https://myanimelist.net/manga/1802/Cat_Street,8,36,Finished,"Drama, Romance, Shoujo","Kamio, Yoko (Story & Art)",Bessatsu Margaret,"24,346",949,8.341,3032,324,"Jul  13, 2004 to Sep  13, 2007"
254,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,https://myanimelist.net/manga/9738/Higurashi_no_Naku_Koro_ni_Kai__Matsuribayashi-hen,8,35,Finished,"Mystery, Drama, Horror, Psychological","Suzuragi, Karin (Art), Ryukishi07 (Story)",Gangan Powered,"5,681",110,8.341,3042,1779,"Jun  22, 2008 to Apr  22, 2011"
255,Saiyuuki Reload Blast,https://myanimelist.net/manga/14978/Saiyuuki_Reload_Blast,Unknown,Unknown,Publishing,"Action, Adventure, Comedy, Drama, Fantasy, Josei","Minekura, Kazuya (Story & Art)",Comic ZERO-SUM,"2,672",33,8.341,3062,3805,"Dec  28, 2009 to ?"
256,Private Opinion: Banana Fish Another Story,https://myanimelist.net/manga/16593/Private_Opinion__Banana_Fish_Another_Story,1,2,Finished,"Action, Drama, Shoujo","Yoshida, Akimi (Story & Art)",Betsucomi,899,8,8.341,3072,9334,"Dec  13, 1995"
257,Yomawari Sensei,https://myanimelist.net/manga/17910/Yomawari_Sensei,9,45,Finished,"Drama, School, Psychological, Seinen","Mizutani, Osamu (Story), Tsuchida, Seiki (Art)",Ikki,"2,108",32,8.341,3082,4703,"Oct  25, 2004 to Dec  25, 2008"
258,Gin no Saji,https://myanimelist.net/manga/25096/Gin_no_Saji,Unknown,Unknown,Publishing,"Comedy, Drama, School, Shounen","Arakawa, Hiromu (Story & Art)",Shounen Sunday,"23,012","1,052",8.341,3092,351,"Mar  30, 2011 to ?"
259,Ansatsu Kyoushitsu,https://myanimelist.net/manga/39883/Ansatsu_Kyoushitsu,21,187,Finished,"Action, Comedy, School, Shounen","Matsui, Yuusei (Story & Art)",Shounen Jump (Weekly),"88,820","5,600",8.341,3102,40,"Jul  2, 2012 to Apr  25, 2016"
260,Tate no Yuusha no Nariagari,https://myanimelist.net/manga/67617/Tate_no_Yuusha_no_Nariagari,Unknown,Unknown,Publishing,Fantasy,"Aneko, Yusagi (Story), Minami, Seira (Art)",    None,"26,602","1,496",8.341,3112,284,"Aug  22, 2013 to ?"
261,Date A Live: Encore,https://myanimelist.net/manga/70921/Date_A_Live__Encore,Unknown,Unknown,Publishing,"Romance, School, Slice of Life","Tachibana, Koushi (Story), Tsunako (Art)",Dragon Magazine,"1,168",29,8.341,3122,7764,"Mar  19, 2011 to ?"
262,Orange,https://myanimelist.net/manga/95211/Orange,3,22,Finished,"Drama, Romance, School, Sci-Fi","Takano, Ichigo (Story & Art), Tokiumi, Yui (Story)",    None,"4,591",243,8.341,3132,2218,"Jul  18, 2015 to Mar  18, 2016"
263,No Game No Life: Practical War Game,https://myanimelist.net/manga/103268/No_Game_No_Life__Practical_War_Game,1,6,Finished,"Comedy, Fantasy","Kamiya, Yuu (Story & Art)",    None,"1,404",19,8.331,3242,6742,"Dec  23, 2016"
264,5-toubun no Hanayome,https://myanimelist.net/manga/103851/5-toubun_no_Hanayome,Unknown,Unknown,Publishing,"Comedy, Romance, School, Shounen, Harem","Haruba, Negi (Story & Art)",Shounen Magazine (Weekly),"38,539","3,039",8.341,3142,170,"Aug  9, 2017 to ?"
265,Lookism,https://myanimelist.net/manga/111202/Lookism,Unknown,Unknown,Publishing,"Action, Comedy, Drama, Supernatural","Park, Tae-Jun (Story & Art)",Naver Webtoon,"6,238",380,8.341,3152,1583,"Nov  20, 2014 to ?"
266,Ojisama to Neko,https://myanimelist.net/manga/112774/Ojisama_to_Neko,Unknown,Unknown,Publishing,Slice of Life,"Sakurai, Umi (Story & Art)",Gangan pixiv,"2,667",67,8.341,3162,3816,"Jun  12, 2017 to ?"
267,D.Gray-man,https://myanimelist.net/manga/24/DGray-man,Unknown,Unknown,Publishing,"Action, Adventure, Demons, Shounen, Super Power","Hoshino, Katsura (Story & Art)",Jump SQ.Crown,"106,517","11,385",8.331,3172,24,"May  31, 2004 to ?"
268,Genshiken,https://myanimelist.net/manga/348/Genshiken,21,127,Finished,"Comedy, Drama, School, Slice of Life, Seinen","Kio, Shimoku (Story & Art)",Afternoon,"26,576","1,807",8.331,3182,286,"Apr  25, 2002 to Aug  25, 2016"
269,Ten: Tenhou-doori no Kaidanji,https://myanimelist.net/manga/3571/Ten__Tenhou-doori_no_Kaidanji,18,164,Finished,"Drama, Game","Fukumoto, Nobuyuki (Story & Art)",Kindai Mahjong Gold,"2,759",158,8.331,3192,3697,Aug 1989 to Apr 2002
270,Kimi to Boku.,https://myanimelist.net/manga/8557/Kimi_to_Boku,Unknown,Unknown,Publishing,"Comedy, Drama, Romance, School, Shounen, Slice of Life","Hotta, Kiichi (Story & Art)",GFantasy,"6,917",207,8.331,3202,1416,Feb 2003 to ?
271,Nukozuke!,https://myanimelist.net/manga/45947/Nukozuke,Unknown,Unknown,Publishing,"Comedy, Shoujo, Slice of Life","Yugi, Iro (Story & Art)",Hana LaLa online,"8,403",311,8.331,3212,1140,"Apr  6, 2012 to ?"
272,Gochuumon wa Usagi desu ka?,https://myanimelist.net/manga/49835/Gochuumon_wa_Usagi_desu_ka,Unknown,Unknown,Publishing,"Comedy, Slice of Life",Koi (Story & Art),Manga Time Kirara MAX,"3,018",176,8.331,3222,3360,"Jan  19, 2011 to ?"
273,Fukigen na Mononokean,https://myanimelist.net/manga/67401/Fukigen_na_Mononokean,Unknown,Unknown,Publishing,"Comedy, Supernatural","Wazawa, Kiri (Story & Art)",Gangan Online,"6,855",364,8.331,3232,1428,"Sep  12, 2013 to ?"
274,Kaichou wa Maid-sama!: Marriage,https://myanimelist.net/manga/103989/Kaichou_wa_Maid-sama__Marriage,1,7,Finished,"Comedy, Romance, School, Shoujo","Fujiwara, Hiro (Story & Art)",LaLa DX,"2,802",72,8.331,3252,3651,"Nov  8, 2013 to Apr  24, 2018"
275,Ookiku Furikabutte,https://myanimelist.net/manga/994/Ookiku_Furikabutte,Unknown,Unknown,Publishing,"Comedy, Sports, Seinen","Higuchi, Asa (Story & Art)",Afternoon,"6,798",305,8.321,3262,1439,"Sep  25, 2004 to ?"
276,Five Star Stories,https://myanimelist.net/manga/1659/Five_Star_Stories,18,55,Finished,Shounen,"Takahashi, Yoshihiro (Story & Art)",Shounen Jump (Weekly),"2,443",195,8.321,3282,4094,"Nov  15, 1983 to Feb  24, 1987"
277,Ginga Nagareboshi Gin,https://myanimelist.net/manga/4945/Ginga_Nagareboshi_Gin,20,97,Finished,"Comedy, Drama, Ecchi, Romance, School, Sci-Fi, Shounen","Minazuki, Suu (Story & Art)",Shounen Ace,"32,258","2,075",8.321,3292,221,"Mar  26, 2007 to Feb  26, 2014"
278,Sora no Otoshimono,https://myanimelist.net/manga/8144/Sora_no_Otoshimono,7,138,Finished,"Comedy, School, Slice of Life","Yamauchi, Yasunobu (Story & Art)",Gangan Online,"12,542",270,8.321,3302,707,"May  21, 2009 to Sep  27, 2012"
279,Danshi Koukousei no Nichijou,https://myanimelist.net/manga/26144/Danshi_Koukousei_no_Nichijou,11,66,Finished,"Comedy, Romance, Shoujo","Amano, Shinobu (Story & Art)",LaLa,"65,356","3,433",8.321,3312,67,"Aug  24, 2011 to Jun  24, 2016"
280,Last Game,https://myanimelist.net/manga/30315/Last_Game,6,27,Finished,"Comedy, Mystery, Romance, School, Slice of Life",Soonkki (Story & Art),Naver Webtoon,"13,773",624,8.321,3322,623,"Jul  7, 2010 to May  26, 2011"
281,Cheese in the Trap Season 1,https://myanimelist.net/manga/37705/Cheese_in_the_Trap_Season_1,16,154,Finished,"Drama, Game, Psychological, Seinen","Fukumoto, Nobuyuki (Story & Art)",Young Magazine (Weekly),"2,661",87,8.321,3332,3825,"Jun  3, 2013 to Aug  21, 2017"
282,Tobaku Datenroku Kaiji: One Poker-hen,https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen,5,42,Finished,"Comedy, Historical, Romance, Shounen, Slice of Life","Kirioka, Sana (Story & Art)",Jump SQ.,"6,319",226,8.321,3342,1556,"Jul  4, 2015 to Sep  4, 2017"
283,Taishou Otome Otogibanashi,https://myanimelist.net/manga/96044/Taishou_Otome_Otogibanashi,11,61,Finished,"Action, Adventure, Drama, Fantasy, Romance, Shoujo","Ozaki, Kaori (Story & Art)",Wings,"15,705",690,8.311,3352,536,"Aug  26, 1998 to May  25, 2011"
284,Meteor Methuselah,https://myanimelist.net/manga/373/Meteor_Methuselah,7,69,Finished,"Action, Adventure, Historical, Shounen, Vampire","Araki, Hirohiko (Story & Art)",Shounen Jump (Weekly),"44,196","2,412",8.311,3362,143,"Oct  20, 1987 to Mar  14, 1989"
285,JoJo no Kimyou na Bouken Part 2: Sentou Chuuryuu,https://myanimelist.net/manga/1630/JoJo_no_Kimyou_na_Bouken_Part_2__Sentou_Chuuryuu,30,125,Finished,"Romance, School, Shoujo, Slice of Life","Shiina, Karuho (Story & Art)",Bessatsu Margaret,"71,935","4,157",8.311,3372,59,"Aug  11, 2005 to Nov  13, 2017"
